item_name,category,image_url,price_twd,calories_kcal,protein_g,fat_g,saturated_fat_g,trans_fat_g,carb_g,sodium_mg,nutrition_json,detail_url,source_page,crawled_at
旺來紅,找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935284+00:00
鮮柚綠(季節限定),找好茶,http://50lan.com/web/bookpic/20092262013741012.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null, ""availability_note"": ""僅限冷飲""}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935325+00:00
奶茶,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935478+00:00
奶綠,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935519+00:00
紅茶瑪奇朵,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935556+00:00
烏龍瑪奇朵,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935593+00:00
四季奶青,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935627+00:00
黃金烏龍奶茶,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935662+00:00
阿華田,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935697+00:00
可可芭蕾,找奶茶,http://50lan.com/web/bookpic/200922620132321621.gif,,,,,,,,,"{""calories_kcal"": null, ""protein_g"": null, ""fat_g"": null, ""saturated_fat_g"": null, ""trans_fat_g"": null, ""carb_g"": null, ""sodium_mg"": null}",http://50lan.com/web/products.asp,http://50lan.com/web/products.asp,2026-04-04T18:45:34.935731+00:00
